"STATISTIC","Statistic Label","TLIST(A1)","Year","C03788V04538","County","C02665V03225","NACE Rev 2 Economic Sector","UNIT","VALUE"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","N","Administrative and support service activities (N)","Euro","22196"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","O","Public administration and defence; compulsory social security (O)","Euro","45276"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","P","Education (P)","Euro","48616"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","Q","Human health and social work activities (Q)","Euro","36429"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","Y0900","Industry (B to E)","Euro","36231"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","Y3500","Financial, insurance and real estate activities (K,L)","Euro","41136"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-1448-13a3-e055-000000000001","Co. Cavan","Y7400","Arts, entertainment, recreation and other service activities (R,S)","Euro","21267"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","-","All NACE economic sectors","Euro","34815"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","F","Construction (F)","Euro","32944"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","G","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","25858"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","H","Transportation and storage (H)","Euro","32404"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","I","Accommodation and food service activities (I)","Euro","18654"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","J","Information and communication (J)","Euro","50385"
"DEA08C01","Mean Annual Earnings","2011","2011","2ae19629-143d-13a3-e055-000000000001","Co. Carlow","M","Professional, scientific and technical activities (M)","Euro","37176"
